Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,the District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2000,"$99,274.99 ","$137,804.65 ","$136,967.24 ","$87,688.22 ","$196,191.01 ","$182,473.29 ","$164,777.00 ","$147,893.12 ","$169,264.82 ","$108,717.84 ","$125,575.99 ","$197,289.06 ","$121,321.37 ","$128,102.63 ","$95,730.18 ","$89,836.59 ","$87,114.73 ","$85,615.86 ","$104,764.30 ","$107,909.93 ","$152,673.11 ","$200,591.42 ","$116,038.06 ","$128,357.81 ","$85,806.46 ","$96,799.58 ",$0.00 ,"$113,364.52 ","$153,848.38 ","$135,573.43 ","$172,986.72 ",$0.00 ,"$155,557.46 ","$128,765.14 ",$0.00 ,"$105,132.42 ","$81,261.03 ","$151,007.63 ","$98,620.57 ","$133,642.60 ","$113,886.65 ","$105,188.06 ","$109,430.65 ","$111,698.98 ","$170,704.04 ","$116,530.42 ","$125,526.43 ","$175,699.97 ","$73,017.53 ","$118,634.48 ",$0.00 
1/1/2001,"$103,334.71 ","$158,224.83 ","$144,555.19 ","$91,794.80 ","$223,515.28 ","$204,176.28 ","$179,341.81 ","$156,790.63 ","$184,748.99 ","$117,670.95 ","$134,794.48 ","$208,701.65 ","$125,794.25 ","$138,534.47 ","$99,151.64 ","$94,046.61 ","$92,325.27 ","$90,243.69 ","$110,434.03 ","$119,809.22 ","$162,170.01 ","$231,313.43 ","$124,018.25 ","$145,714.89 ","$90,209.22 ","$103,647.23 ",$0.00 ,"$108,486.84 ","$162,506.59 ","$155,246.20 ","$191,403.42 ",$0.00 ,"$168,514.56 ","$133,941.17 ",$0.00 ,"$109,961.48 ","$85,290.88 ","$156,517.99 ","$103,965.82 ","$148,038.71 ","$119,184.86 ","$106,839.44 ","$113,255.26 ","$113,248.42 ","$176,086.17 ","$126,087.37 ","$135,936.46 ","$184,752.42 ","$77,164.13 ","$125,379.01 ",$0.00 
1/1/2002,"$106,125.11 ","$172,201.25 ","$151,953.61 ","$94,631.45 ","$251,218.90 ","$215,630.13 ","$198,419.36 ","$167,691.80 ","$212,243.48 ","$129,687.93 ","$141,350.01 ","$224,463.68 ","$129,667.57 ","$149,449.50 ","$100,949.17 ","$98,053.03 ","$95,944.82 ","$93,484.39 ","$115,610.45 ","$134,338.11 ","$178,491.29 ","$263,617.47 ","$129,880.47 ","$161,458.78 ","$92,846.20 ","$110,774.53 ",$0.00 ,"$108,667.75 ","$173,124.26 ","$176,191.80 ","$215,852.87 ","$99,118.17 ","$184,065.21 ","$136,985.72 ",$0.00 ,"$113,739.88 ","$88,483.04 ","$163,144.51 ","$110,502.02 ","$172,326.55 ","$122,559.27 ","$110,085.40 ","$116,126.47 ","$115,757.78 ","$177,196.99 ","$137,179.69 ","$148,911.18 ","$192,801.46 ","$79,879.72 ","$132,537.15 ","$106,388.50 "
1/1/2003,"$109,318.74 ","$180,801.61 ","$160,683.21 ","$98,754.20 ","$292,465.22 ","$219,916.23 ","$222,800.87 ","$183,589.43 ","$248,927.73 ","$144,701.09 ","$145,731.00 ","$255,588.68 ","$133,056.02 ","$160,801.99 ","$102,698.16 ","$102,145.00 ","$98,309.21 ","$96,530.41 ","$119,898.62 ","$150,102.76 ","$202,833.13 ","$299,547.45 ","$134,472.96 ","$175,645.27 ","$95,665.28 ","$117,747.73 ",$0.00 ,"$113,429.10 ","$188,290.55 ","$200,179.63 ","$249,674.84 ","$135,633.92 ","$203,754.82 ","$139,720.33 ",$0.00 ,"$117,885.46 ","$91,563.69 ","$171,683.96 ","$119,594.99 ","$207,403.27 ","$126,412.26 ","$114,590.16 ","$119,108.46 ","$119,300.93 ","$177,033.19 ","$148,504.73 ","$165,083.11 ","$201,977.12 ","$83,282.36 ","$140,859.50 ","$146,269.50 "
1/1/2004,"$113,216.04 ","$194,824.73 ","$160,573.95 ","$104,281.46 ","$354,821.71 ","$224,317.03 ","$249,604.41 ","$205,229.38 ","$292,211.28 ","$165,486.86 ","$150,134.53 ","$310,739.78 ","$138,868.65 ","$173,574.28 ","$105,571.42 ","$106,393.36 ","$102,817.42 ","$99,687.89 ","$125,718.82 ","$171,271.35 ","$236,999.60 ","$330,009.18 ","$139,792.24 ","$189,942.78 ","$98,843.68 ","$124,344.88 ",$0.00 ,"$119,339.58 ","$237,869.03 ","$223,097.30 ","$284,752.60 ","$142,965.50 ","$225,821.38 ","$143,476.18 ",$0.00 ,"$122,349.70 ","$94,803.96 ","$185,443.51 ","$131,108.47 ","$245,121.23 ","$132,254.67 ","$121,265.10 ","$123,372.04 ","$125,744.25 ","$179,495.31 ","$165,599.49 ","$191,410.60 ","$219,576.76 ","$88,526.71 ","$152,706.24 ","$156,171.58 "
1/1/2005,"$118,826.84 ","$212,475.43 ","$225,702.14 ","$112,008.96 ","$431,902.57 ","$230,481.58 ","$281,083.44 ","$237,453.74 ","$353,306.18 ","$204,124.21 ","$155,783.00 ","$390,278.98 ","$140,334.90 ","$188,538.86 ","$111,399.19 ","$111,326.61 ","$108,727.29 ","$103,731.95 ","$133,007.07 ","$192,237.96 ","$287,909.24 ","$358,411.96 ","$144,024.25 ","$203,422.62 ","$104,231.00 ","$130,513.71 ","$148,861.92 ","$124,390.51 ","$306,990.99 ","$245,305.02 ","$327,533.54 ","$153,425.75 ","$252,035.59 ","$149,425.66 ",$0.00 ,"$126,352.35 ","$98,697.03 ","$211,572.75 ","$146,056.76 ","$279,596.60 ","$141,971.79 ","$129,794.51 ","$130,502.95 ","$131,925.61 ","$183,671.42 ","$186,185.62 ","$232,125.47 ","$251,610.90 ","$95,708.49 ","$164,588.37 ","$169,558.42 "
1/1/2006,"$128,020.96 ","$231,007.26 ","$277,928.26 ","$119,815.97 ","$475,909.44 ","$235,836.32 ","$303,015.98 ","$263,767.47 ","$394,051.44 ","$247,294.69 ","$162,216.75 ","$462,653.90 ","$185,548.60 ","$201,511.87 ","$114,514.50 ","$115,705.19 ","$111,895.21 ","$107,387.05 ","$145,898.26 ","$199,787.36 ","$332,455.31 ","$359,647.76 ","$145,023.51 ","$209,858.64 ","$112,687.97 ","$136,083.90 ","$176,199.08 ","$128,422.48 ","$327,893.80 ","$254,742.32 ","$361,637.86 ","$174,013.83 ","$274,532.52 ","$158,580.13 ",$0.00 ,"$128,912.35 ","$103,108.59 ","$251,486.03 ","$159,649.30 ","$293,357.95 ","$154,506.70 ","$136,122.76 ","$139,557.58 ","$136,426.88 ","$202,738.46 ","$204,719.41 ","$260,744.95 ","$294,669.01 ","$100,371.75 ","$171,965.67 ","$185,161.33 "
1/1/2007,"$134,165.88 ","$244,953.76 ","$267,384.65 ","$123,212.43 ","$458,536.88 ","$236,500.82 ","$302,054.19 ","$271,039.46 ","$394,798.64 ","$241,303.85 ","$166,241.06 ","$473,587.13 ","$195,929.47 ","$204,724.91 ","$116,398.58 ","$118,303.20 ","$115,586.72 ","$109,293.01 ","$153,192.37 ","$199,560.07 ","$338,512.55 ","$343,207.84 ","$138,686.92 ","$206,973.33 ","$118,995.72 ","$138,331.61 ","$187,264.33 ","$129,780.34 ","$311,938.74 ","$247,888.75 ","$358,839.54 ","$188,053.25 ","$280,116.23 ","$166,786.53 ",$0.00 ,"$128,016.28 ","$106,644.93 ","$269,742.19 ","$165,525.34 ","$281,199.92 ","$161,110.97 ","$140,436.57 ","$145,899.22 ","$141,816.43 ","$234,496.47 ","$214,783.63 ","$260,105.72 ","$316,016.77 ","$102,954.76 ","$174,046.03 ","$199,964.75 "
1/1/2008,"$133,632.54 ","$250,137.02 ","$223,729.04 ","$123,088.15 ","$377,991.50 ","$229,457.23 ","$285,353.41 ","$261,718.56 ","$386,040.86 ","$200,919.25 ","$160,455.83 ","$463,795.79 ","$194,651.64 ","$194,121.16 ","$116,317.26 ","$118,792.43 ","$116,876.31 ","$109,131.10 ","$154,619.27 ","$195,097.35 ","$312,314.44 ","$323,033.75 ","$125,070.45 ","$192,735.70 ","$117,861.95 ","$135,580.09 ","$191,238.83 ","$126,798.81 ","$244,003.31 ","$234,071.86 ","$338,060.50 ","$186,926.75 ","$277,202.60 ","$168,441.50 ",$0.00 ,"$124,136.79 ","$108,115.68 ","$259,233.80 ","$164,972.86 ","$261,377.62 ","$159,241.20 ","$144,407.61 ","$144,408.30 ","$141,841.65 ","$238,780.92 ","$216,288.04 ","$242,316.78 ","$302,516.51 ","$95,395.20 ","$170,572.89 ","$203,963.25 "
1/1/2009,"$128,651.79 ","$249,739.04 ","$173,038.60 ","$119,240.69 ","$306,145.86 ","$222,338.65 ","$263,495.62 ","$243,999.26 ","$366,498.36 ","$159,648.29 ","$144,337.34 ","$424,199.80 ","$174,161.46 ","$172,470.15 ","$113,393.19 ","$117,444.40 ","$116,330.50 ","$108,068.51 ","$153,551.59 ","$182,308.86 ","$273,706.51 ","$301,789.12 ","$106,333.95 ","$175,777.36 ","$113,959.49 ","$130,203.05 ","$187,908.42 ","$124,978.15 ","$173,023.00 ","$217,189.66 ","$310,097.59 ","$177,557.83 ","$263,153.61 ","$161,851.67 ","$160,382.58 ","$118,155.73 ","$107,865.72 ","$233,507.84 ","$159,490.38 ","$230,387.47 ","$150,460.30 ","$144,257.34 ","$138,869.31 ","$138,430.58 ","$216,302.31 ","$211,442.49 ","$222,985.61 ","$270,659.22 ","$101,591.25 ","$161,490.93 ","$200,566.83 "
