Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,the District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2000,97864.21,136697.94,133988.26,86370.86,186449.09,174451.46,159708.39,144664.05,162495.68,105939.1,122111.71,193296.34,120253.8,124828.38,95605.64,88148.7,86000.76,84366.3,103021.42,104515.28,150348.95,191582.68,113111.65,122865.61,84646.94,94511.43,0,112363.75,151471.2,130320.88,167433.05,0,150532.34,126625.22,0,103304.59,79848.73,148577.71,96695.08,128701.71,111719.1,106141.5,108243.21,111018.28,167129.77,113587.62,122268.19,171952.71,72199.78,116832.54,0
2/1/2000,98034.62,136853.2,134230.95,86486.29,187075.8,175070.88,160316.84,144889.11,163027.17,106168.57,122389.01,193206.91,120180.9,124928.42,95474.18,88317.14,86017.64,84409.85,103220.14,104863,150328.1,192222.31,113173.95,123279.18,84600.52,94622.21,0,112543.37,151490.13,130763.6,167884.39,0,151068.39,126817.87,0,103367.72,79881.67,148904.45,96901.9,129287.03,111965.73,105915.99,108333.51,111078.61,167221.34,113777.82,122584.58,172340.58,72196.69,116798.63,0
3/1/2000,98148.81,137008.38,134543.3,86617.25,187922.02,175755.42,160952.16,145169.34,163781.29,106446.74,122708.96,193503.58,120227.09,125144.66,95326.54,88476.17,86117.1,84489.11,103374.56,105173.47,150434.63,192983.37,113402.03,123663.96,84598.5,94788.05,0,112709.84,151724.57,131292.1,168315.05,0,151584.41,127016.29,0,103463.45,80035.2,149202.94,97096.26,129901.72,112166.7,105600.39,108425.6,111107.87,167365.1,114076.52,122920.02,172736.23,72220.03,116929.34,0
4/1/2000,98404.61,137190.37,135181.1,86896.89,189758.89,177286.01,162028.52,145810.21,165398.3,107012.19,123382.6,194018.21,120322.99,125653.35,94877.71,88819.65,86265.79,84686.05,103722.69,105857.46,150691.68,194482.34,113856.36,124567.18,84659.53,95167.14,0,112968.26,152261.82,132085.45,169269.18,0,152694.25,127446.69,0,103744.98,80314.78,149829.32,97492.34,131116.24,112627.39,105175.01,108647.17,111253.1,167725.8,114663.45,123553.9,173534.77,72279.09,117117.04,0
5/1/2000,98689.92,137464.34,135904.05,87172.69,191893.98,178994.41,162913,146541.15,167192.87,107621.96,124125.59,195026.32,120635.69,126256.94,94660.85,89199.14,86489.92,84947.8,104091.54,106501.79,151229.6,196104.89,114526.38,125558.03,84956.49,95656.82,0,113099.3,152946.43,132953.82,170241.85,0,153842.53,127926.19,0,104174.23,80690.29,150387.92,97899.2,132326.46,113057.51,104998.04,108902.76,111347.15,169032.99,115339.36,124165.83,174406.31,72394.33,117491.52,0
6/1/2000,99034.86,137669.15,136552.83,87437.49,194197.74,180839.21,163789.05,147347.56,169120.49,108244.12,124912.92,196164.82,121017.87,126935.29,94724.9,89582.19,86742.73,85235.54,104493.33,107225.13,151879.97,197862.91,115262.26,126703.65,85381.36,96197.94,0,113176.85,153561.03,133871.17,171402.72,0,155084.14,128436.26,0,104706.84,81046.29,150906.41,98317.35,133248.55,113531.3,104876.77,109156.42,111452.6,170474.09,115970.47,124756.77,175238.32,72585.77,117931.04,0
7/1/2000,99354.27,138096.52,137212.58,87693.43,196630.68,182708.48,164768.18,148168.05,170950.52,108869.24,125708.49,197303.37,121395.81,127671.05,95190.4,89971.18,87071.58,85559.96,104886.12,108002.99,152649.7,199943.29,116120.76,127963.79,85773.74,96786.24,0,113266.67,154037.38,135144.26,172716.35,0,156200.35,128934.35,0,105233.35,81414.92,151338.12,98761.4,134091.28,113991.06,104792.21,109430.81,111521.9,171918.76,116599.11,125474.1,176142.21,72837.34,118513.09,0
8/1/2000,99642.92,138297.53,137846.32,87984.6,199170.79,184737.64,165952.72,148966.45,172524.66,109505.9,126549.46,198620.8,121777.52,128718.32,95664.88,90303.83,87428.69,85931.09,105196.71,108812.22,153364.01,202503.41,116987.35,129689.65,86147.46,97420.62,0,113481.63,154496.32,136635.71,174312.6,0,157177.4,129404.05,0,105745.09,81758.09,151799.22,99185.29,134935.72,114497.19,104636.83,109714,111726.91,172513.82,117249.05,126320,176977.41,73166.41,119156.39,0
9/1/2000,99952.55,138480.89,138547.23,88313.93,201716.8,186867.79,167199.93,149703.45,173707.09,110165.79,127408.98,199923.03,122097.07,129949.94,96035.64,90650.82,87763.19,86343.01,105550.43,109654.35,154094.05,205380.19,117815.63,131473.83,86480.37,98059.35,0,113744.2,155048.67,138238.02,176077.73,0,158045.6,129862.5,0,106247.9,82070.03,152186.94,99617.2,135976.17,115019.7,104853.29,110052.36,111995.76,173034.12,117967.57,127244.42,177737.64,73461.07,119800.8,0
10/1/2000,100307.83,138422.1,139222.57,88644.78,204131.24,188983.56,168564.8,150361.6,174008.34,110839.44,128302.31,201286.25,122405.62,131371.44,96489.55,91078.47,88105.17,86727.83,105969.31,110450.53,154864.45,208419.08,118589.21,133299.79,86942.27,98738.35,0,114019.9,155669.65,140081.61,177862.6,0,158976.19,130347.18,0,106733.63,82348.81,152576.41,100031.41,137019.04,115534,105095.91,110380.04,112283.83,173473.6,118832.25,128119.07,178399.63,73800.91,120431.76,0
11/1/2000,100710,138564.8,139872.94,89076.16,206509,191019.62,169943.48,151170.28,174305.51,111539.48,129187.49,202171.78,122651.45,132456.31,97034.9,91507.74,88476.15,87134.96,106521.87,111407.42,155661.89,211355.16,119389.43,134819.27,87432.67,99475.46,0,114337.21,156388.78,141850.84,179454.9,0,160116.24,130892.96,0,107207.72,82669.98,152969.06,100488.37,138018.3,116046.33,105135.52,110738.75,112616.25,174018.41,119711.32,129003.13,179069.41,74245.24,121018.13,0
12/1/2000,101155.32,138910.56,140504.69,89564.22,208836.11,192964.96,171186.96,151926.15,174665.88,112261.5,130124.36,202947.35,122890.62,133317.46,97676.96,91984.09,88898.01,87558.84,107123.47,112455.46,156530.26,214257.39,120221.7,136409.81,88057.65,100171.39,0,114663.26,157084.56,143643.75,180870.25,0,161367.65,131472.14,0,107659.56,83053.51,153413.08,100961.03,139088.94,116483.79,105035.24,111143.12,112985.49,174540.66,120590.51,129907.11,179864.43,74823.66,121593.44,0
1/1/2001,101652.75,141355.12,141119.93,90141.28,210804.73,194916.01,172276.48,152764.14,175467.77,112921.7,131033.81,203596.83,123278.35,133935.61,98140.08,92307.29,89422.76,88051.93,107790.57,113745.3,157246.96,216879.87,121008.15,137843.91,88626.51,100690.59,0,115161.13,157797.89,145275.93,182194.97,0,162567.93,132070.29,0,108078.8,83480.35,153913.66,101427.57,140139.81,116993.34,105095.47,111605.06,113205.94,175026.86,121371.2,130817.42,180696.2,75527.44,122120.35,0
2/1/2001,102074.03,145223.71,141733.62,90512.81,212751.29,196754.05,173181.21,153448.49,176289.09,113577.61,131816.45,204239.05,123671.4,134554.99,98298.64,92598.89,90028.34,88501.78,108372.48,114939.01,157898.44,219274.49,121615.49,139127.25,88968.53,101049.72,0,115495.14,158554.84,147022.95,183656.37,0,163566.89,132516.33,0,108412.34,83894.59,154337.73,101854.14,141191.85,117449.24,105312.03,111970.96,113172.63,175306.53,122244.29,131624.87,181518.84,75967.89,122635.23,0
3/1/2001,102421.19,150162.3,142350.23,90791.86,214942.3,198617.45,174187.4,154193.86,177448.5,114263.28,132484.83,204814.21,124212.45,135226.42,98297.3,92784.93,90665.58,88930.66,108932.91,116056.75,158452.24,221634.75,122111.93,140401.9,89177.96,101447.25,0,113169.82,159379.24,148667.25,185107.85,0,164467.88,132877.07,0,108722.08,84253.48,154788.37,102283.19,142312.89,117921.31,105756.55,112277.79,112952.03,175474.5,123158.72,132456.82,182292.77,76300.15,123149.98,0
4/1/2001,102671.5,153900.31,142977.1,90965.4,217666.53,200431.56,175349.85,154904.61,179213.44,115073.22,133100.93,205501.08,124733.4,135910.54,98253.28,93041.98,91215.53,89315.23,109421.67,116937.33,159197.63,224073.34,122546.92,141782.32,89353.37,101958.68,0,109849.89,160203.46,150363.35,186641.57,0,165408.56,133143.74,0,109028.79,84590.64,155181.74,102743.55,143616.35,118244.63,106156.47,112521.59,112822.79,175649.03,124077.32,133326.45,183049.7,76455.95,123717.76,0
5/1/2001,102919.34,156997.81,143613.4,91283.28,220396.39,202242.08,176659.06,155641.68,181228.09,115960.34,133781.54,206493.91,125243.17,136724.68,98447.66,93336.28,91729.14,89717.1,109868.2,117989.99,160070.09,226592.8,123074.63,143192.9,89668.62,102565.68,0,106414.24,161080.89,152256.48,188155.31,0,166447.44,133454.01,0,109361.55,84886.1,155623.59,103184.12,145002.98,118609.57,106741.76,112802.95,112866.19,175748.28,124925.75,134288.34,183704.04,76760.8,124304.32,0
6/1/2001,103174.52,159598.86,144255.2,91644.41,222876.25,203859.81,177978.69,156365.42,183171.69,116886.36,134461.13,207621.99,125622.37,137582.67,98792.61,93711.67,92226.59,90145.14,110276.81,119151.56,161120.31,229238.22,123613.35,144604.79,90003.2,103229.38,0,105549.44,161931.76,154282.55,189841.64,0,167594.12,133766.09,0,109689.14,85179.24,156084.32,103632.68,146433.2,118997.19,107043.29,113077.64,112997.77,175914.41,125726.27,135250.43,184373.71,77069.89,124923.04,0
